"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"ibuprofen:naproxen sodium",0,"Some concerns","High risk","No concerns","No concerns","Some concerns","Major concerns","Very low","[]"
"ibuprofen:naratriptan",0,"Some concerns","High risk","No concerns","No concerns","No concerns","Major concerns","Very low","[]"
"ibuprofen:paracetamol",0,"Some concerns","High risk","No concerns","No concerns","Some concerns","Major concerns","Very low","[]"
"ibuprofen:rimegepant",0,"Some concerns","High risk","No concerns","No concerns","Major concerns","Major concerns","Very low","[]"
"ibuprofen:rizatriptan",0,"Some concerns","Some concerns","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"ibuprofen:sumatriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"ibuprofen:ubrogepant",0,"Some concerns","High risk","No concerns","No concerns","No concerns","Major concerns","Very low","[]"
"ibuprofen:zolmitriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"lasmiditan:naproxen sodium",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"lasmiditan:naratriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"lasmiditan:paracetamol",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"lasmiditan:rimegepant",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"lasmiditan:rizatriptan",0,"Some concerns","High risk","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"lasmiditan:sumatriptan",0,"Some concerns","Low risk","Some concerns","Some concerns","Some concerns","Major concerns","Very low","[]"
"lasmiditan:ubrogepant",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"lasmiditan:zolmitriptan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naproxen sodium:naratriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naproxen sodium:paracetamol",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naproxen sodium:rimegepant",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naproxen sodium:rizatriptan",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naproxen sodium:ubrogepant",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naproxen sodium:zolmitriptan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naratriptan:paracetamol",0,"Some concerns","High risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naratriptan:rimegepant",0,"Some concerns","Some concerns","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naratriptan:rizatriptan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naratriptan:sumatriptan",0,"Some concerns","Some concerns","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naratriptan:ubrogepant",0,"Some concerns","Some concerns","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"naratriptan:zolmitriptan",0,"Some concerns","Some concerns","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"paracetamol:rimegepant",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"paracetamol:sumatriptan",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"paracetamol:ubrogepant",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"paracetamol:zolmitriptan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"rimegepant:rizatriptan",0,"Some concerns","Some concerns","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"rimegepant:ubrogepant",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"rimegepant:zolmitriptan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"rizatriptan:sumatriptan",0,"Some concerns","Some concerns","Some concerns","Major concerns","No concerns","Major concerns","Very low","[]"
"rizatriptan:ubrogepant",0,"Some concerns","Some concerns","Some concerns","Some concerns","Some concerns","Major concerns","Very low","[]"
"sumatriptan:ubrogepant",0,"Some concerns","Low risk","Some concerns","Some concerns","Some concerns","Major concerns","Very low","[]"
"ubrogepant:zolmitriptan",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","Very low","[]"
